name,url,ava,county,decade,sub_appellation,current_owner,planted_by,wineries,historical_producers,raw_text,soil_types,varieties_json,ttb_variety
Aldo’s,https://historicvineyardsociety.org/vineyard/aldos,Napa Valley,Napa,1930s,Oak Knoll District,Biale,,,Biale,"Aldo’s Vineyard has a double advantage working for it: it derives its grace and flavor purity not only from its Oak Knoll District location but from the sheer age of its vines. From the location standpoint, tastings of Oak Knoll District wines consistently show traits described as bright, elegant, fresh and vibrant. Descriptions of old vine wines, on the other hand, usually include intense, balanced, concentrated, plush, and our own descriptions, “gentle and pillowy.” What old vines may lack in brashness and gusto they make up for with integrity and character. “We would not be doing this were it not for Aldo Biale, the Black Chicken man. Bob’s father Aldo (1929-2009) was gifted with the good common sense–and sense of pride to maintain these head-trained, non-irrigated old vines that were planted in 1937 from which we source our most coveted Zinfandel. Aldo resisted all the advice and suggestions to replant with trendy grapes such as Chardonnay and Cabernet Sauvignon. ‘My dad grew Zinfandel and I’m sticking with Zinfandel,’ Aldo was known to say. As Biale family legend has it, it was Aldo’s mother Nonna, Cristina, who way back when, negotiated the good old-fashioned land swap that secured the vineyard in exchange for her prune orchard. She was a force to be reckoned with. These are the oldest vines in Oak Knoll and are close by to where Captain Osborne first planted Zinfandel in Napa Valley in 1860. Throughout the season, cane by cane, shoot by shoot, leaf by leaf, and bunch by bunch, each vine is tended by hand to ensure grapes of integrity, evenness of color, full ripeness and pure Zinfandel flavors. As was the practice in the old days, a sprinkling of other varieties are found throughout the vineyard: Petite Sirah, Abouriou, Carignane, Grand noir, Tempranillo, Refosco, Alicante and even Golden Chasselas. A few years back, Bob Biale and Tres Goetting walked the vineyard and documented vine by vine the varietal makeup of the vineyard. You can find the Aldo’s map her",,"{""Zinfandel"": null, ""Chardonnay"": null, ""Cabernet Sauvignon"": null, ""Petite Sirah"": null, ""Tempranillo"": null, ""Refosco"": null, ""Golden Chasselas"": null}",
Alegría Vineyard,https://historicvineyardsociety.org/vineyard/alegria-vineyard,Russian River Valley,Sonoma,1890s,,Betsy & Bill Nachbaur,George & Summers Brumfield,"Acorn, Rock Wall, Parmeson, Hawley, and Bailarin","Ridge 1990-1996, Rosenblum 1997-2003, JC Cellars 1997-1999, Stryker-Sonoma, 2003-2007, DeLoach (2011-2012), Miro (2013-2014)","3 miles south of Healdsburg on Pedroncelli Road east of Old Redwood Hwy and 1/4 mile south of Limerick Lane. Ridge 1990-1996, Rosenblum 1997-2003, JC Cellars 1997-1999, Stryker-Sonoma, 2003-2007, DeLoach (2011-2012), Miro (2013-2014) Blackberry, plum, chocolate, raspberry, coffee, black pepper. Substantial amounts of Petite Sirah and Alicante Bouschet add structure and color. Alegría Vineyard is part of the 1841 Sotoyome land grant. The Brumfield family emigrated from Virginia and settled on the land in 1852. Their 850-acre property included the present Ponzo vineyards as well as ours. The California Board of State Viticultural Commissioners’ 1891 Directory of Grape Growers lists Summers Brumfield as having 18 acres of Zinfandel and Mission grapes in 1889 producing 1.67 tons/acre, which would indicate planting in 1886 or earlier. In 1896 Elizabeth Moes purchased 40 acres of the Brumfield ranch and built a small winery on her property. After she died in 1924, her daughter Ernestine and son-in-law Adolph DiNucci maintained the vineyard during Prohibition and until 1943. The vineyard then passed through a series of owners and was purchased in 1947 by Americo Rafanelli, who replanted part of the vineyard in 1950. Rafanelli sold to Arnold Bruschera in 1951, who sold to the Allen family in 1973, who sold to the Nachbaurs in 1990. The Alegría Vineyard is a field blend that is 78% Zinfandel, 11% Alicante Bouschet, and 9% Petite Sirah. The remaining 2% includes Carignan, Trousseau (Bastardo), Sangiovese, Negrette, Plavac Mali, Palomino, Syrah, Tannat, Muscat Noir, Monbadon, Peloursin, Graciano, Cinsaut, Béclan, and Grenache.          ",,"{""Zinfandel"": 78.0, ""Alicante Bouschet"": 11.0, ""Petite Sirah"": 9.0, ""Carignan"": 0.12, ""Trousseau"": 0.12, ""Sangiovese"": 0.12, ""Negrette"": 0.12, ""Plavac Mali"": 0.12, ""Palomino"": 0.12, ""Syrah"": 0.12, ""Tannat"": 0.12, ""Muscat Noir"": 0.12, ""Monbadon"": 0.12, ""Peloursin"": 0.12, ""Graciano"": 0.12, ""Cinsaut"": 0.12, ""Béclan"": 0.12, ""Grenache"": 0.12}",Zinfandel
Alta Vista Vineyard,https://historicvineyardsociety.org/vineyard/alta-vista-vineyard,Sonoma Valley,Sonoma,1930s,Sonoma Valley,Griffiss Family,Edelson Family,Bedrock Wine Co.,Ravenswood Winery,"This vineyard is old-vine, dry-farmed Gewurztraminer planted between 1000-1200′ feet on Red Clay Loam soils on the Sonoma Valley side of Mt. Veeder. According to the current owners the vineyard was planted by the Austrian Edelson family in the 1930s before it was sold to the Griffiss family in 1986.          ",Clay; Clay Loam; Loam,{},
Amann Ranch,https://historicvineyardsociety.org/vineyard/amann-ranch,Dry Creek Valley,Sonoma County,1940s,,,Rudy Amann,,,          ,,{},
Anacleto Vineyard,https://historicvineyardsociety.org/vineyard/anacleto-vineyard,Russian River Valley,,1930s,,,,St. Francis currently produces a vineyard designated Zinfandel.,,          ,,{},
Aparicio,https://historicvineyardsociety.org/vineyard/aparicio,Amador,Amador,1930s,,Joe Aparicio,Santos Lorenzo Aparicio Serrano,"Michael & David, Runquist",Rosenblum,          ,,{},
Armor Plate (Stellwagen),https://historicvineyardsociety.org/vineyard/armor-plate,Sonoma Valley,Sonoma,1890s,,Hamel Family Wines,,Hamel Family Wines,"Bedrock Wine Co., Joseph Swan, Chauvet",          ,,{},
Bacchi Ranch,https://historicvineyardsociety.org/vineyard/bacchi-ranch,Russian River Valley,Sonoma,1900s,,Brenda Bacchi,Bartolomeo & Clorinda Bacchi,St. Francis,"Carlisle Winery, 2005-06; Lambert Bridge, early 2000s; Seghesio, 1920s","Carlisle Winery, 2005-06; Lambert Bridge, early 2000s; Seghesio, 1920s Sleek and juicy, with aromas of ripe raspberry, cocoa and a hint of eucalyptus. Jammy fruit flavors combined with sweet tobacco, zesty black pepper and cloves. Bacchi Ranch was planted in 1908 by the Italian immigrant grandparents (Nonno and Nonni Bacchi) of Brenda Bacchi. Brenda’s father Bruno was born here in 1921 and Brenda has lived on the vineyard for the past 30 years, raising her two children at the ranch surrounded by their great-grandparents’ old vines.          ",,{},
Bacigalupi,https://historicvineyardsociety.org/vineyard/bacigalupi,Russian River Valley,Sonoma,1950s,,,,,,"In 1956, Charles and Helen Bacigalupi purchased 121 acres on Westside Road, a few miles south of the town of Healdsburg. In a simple beginning, Charles began to care for the 16 acres of existing vineyards. Envisioning the demand for premium wine grapes, Paul Heck (of Korbel Winery) encouraged him to plant Chardonnay and Pinot Noir. In 1964, Charles began his plantings with six acres of each varietal. Eventually he obtained Pinot Noir budwood from Karl Wente, the first well documented plantings of Pinot Noir in the Russian River Valley. He remembers Wente telling him the stock had come from France via the family’s old vineyard in Livermore. The family name (Bacigalupi) gained recognition during the 1976 Paris tasting when the 1973 Napa Valley Chardonnay from Château Montelena (made with 40% of our fruit) triumphed over many acclaimed French wines. This event was the turning point in America’s global wine image. Bacigalupi Vineyards now consist of 125 acres of premium grapes, which have been planted and managed for the past 30 years by John Bacigalupi and his family.          ",,"{""Chardonnay"": null, ""Pinot Noir"": null}",
Barricia,https://historicvineyardsociety.org/vineyard/barricia,Sonoma Valley,Sonoma,1890s,,Mel and Angela Dagovitz,,,Ravenswood,"In 1978, Barbara Olesen and Patricia Herron bought a 36-acre vineyard in the heart of Sonoma Valley— a piece of property that General Mariano Vallejo had traded to his children’s music teacher in exchange for piano lessons in the 1840s. Barbara and Patricia christened the vineyard with a combination of their own first names, calling this piece of land Barricia. Neither knew anything about grapegrowing, but Pat learned how to drive a tractor, prune the vines, and check the leaves for virus. Before long, the blackberry and pepper-spiced wine made from their 100-year old vines was singled out by a string of well-known Sonoma wineries, finally settling at Ravenswood for its emblematic Sonoma Valley Zinfandel.          ",,"{""Zinfandel"": null}",
